"","Estimate","StdErr","nLetters.WD_obs","nLetters.WD_fix","FRT.Pred","FRT.Pred.StdErr"
"CE0_1",260.57,9.1,5.94,6.26,253.53,9.09
"C1_1",-2.69,11.83,5.82,6.26,250.83,8.27
"C2_1",-17.62,11.83,5.84,6.26,235.9,8.27
"C3_1",-4.56,11.83,5.82,6.26,248.96,8.28
"C4_1",-4.19,11.83,5.74,6.26,249.34,8.28
"C5_1",-2.35,11.83,5.83,6.26,251.18,8.27
"C6_1",10.87,14.73,6.01,6.26,264.4,11.93
"C7_1",13.13,14.73,6.02,6.26,266.66,11.93
"E1_1",-11.67,11.83,5.81,6.26,241.86,8.28
"E2_1",-6.98,11.84,5.96,6.26,246.54,8.28
"E3_1",4.38,11.96,5.88,6.26,257.91,8.46
"E4_1",-9.7,11.83,5.84,6.26,243.83,8.27
"E5_1",-2.39,11.83,5.86,6.26,251.14,8.28
"E6_1",-2.36,11.46,5.8,6.26,251.17,7.68
"E7_1",7.81,11.39,5.89,6.26,261.33,7.58
"CE0_2",-3.34,8.5,5.98,6.26,250.18,9.09
"C1_2",-2.01,11.83,5.97,6.26,251.52,8.27
"C2_2",-10.97,11.83,5.98,6.26,242.56,8.27
"C3_2",-6.11,11.83,5.96,6.26,247.42,8.28
"C4_2",-5.81,11.83,5.97,6.26,247.72,8.28
"C5_2",-0.45,11.83,5.97,6.26,253.07,8.27
"C6_2",2.8,14.75,6.58,6.26,256.32,11.94
"C7_2",9.73,14.75,6.58,6.26,263.26,11.94
"E1_2",-10.44,11.83,5.96,6.26,243.09,8.28
"E2_2",-4.34,11.84,6,6.26,249.18,8.29
"E3_2",0,11.96,5.94,6.26,253.52,8.46
"E4_2",-10.88,11.83,5.99,6.26,242.65,8.27
"E5_2",-6.19,11.83,6,6.26,247.34,8.28
"E6_2",-2.44,11.46,6.1,6.26,251.08,7.68
"E7_2",-4.94,11.4,6.11,6.26,248.59,7.59
"C1_3",-87.25,11.83,5.71,6.26,166.27,8.28
"C2_3",-109.15,11.83,5.73,6.26,144.38,8.28
"C3_3",-95.61,11.84,5.72,6.26,157.91,8.28
"C4_3",-96.26,11.84,5.53,6.26,157.26,8.29
"C5_3",-112.06,11.83,5.74,6.26,141.47,8.28
"C6_3",-90.77,14.74,5.54,6.26,162.76,11.94
"C7_3",-105.37,14.74,5.52,6.26,148.15,11.94
"E1_3",-98.32,11.84,5.69,6.26,155.2,8.29
"E2_3",-96.45,11.84,5.99,6.26,157.08,8.28
"E3_3",-98.62,11.96,5.89,6.26,154.91,8.46
"E4_3",-104.03,11.83,5.73,6.26,149.5,8.28
"E5_3",-93.08,11.83,5.76,6.26,160.44,8.28
"E6_3",-99.46,11.46,5.53,6.26,154.06,7.69
"E7_3",-71,11.4,5.72,6.26,182.52,7.59
"CE0_4",-28.42,9.51,10.22,6.26,225.11,10.02
"C1_4",-48.86,12.56,10.22,6.26,204.66,9.26
"C2_4",-44.66,12.56,10.21,6.26,208.86,9.27
"C3_4",-45.34,12.58,10.27,6.26,208.19,9.29
"C4_4",-39.62,12.56,10.23,6.26,213.91,9.27
"C5_4",-34.51,12.56,10.22,6.26,219.01,9.27
"C6_4",-26.19,15.27,10,6.26,227.34,12.57
"C7_4",2.54,15.27,10,6.26,256.07,12.57
"E1_4",-48.16,12.57,10.2,6.26,205.37,9.27
"E2_4",-27.36,12.57,10.23,6.26,226.17,9.28
"E3_4",-50.58,12.67,10,6.26,202.95,9.41
"E4_4",-35.37,12.56,10.24,6.26,218.15,9.27
"E5_4",-31.27,12.57,10.24,6.26,222.25,9.28
"E6_4",-54.53,12.2,10.17,6.26,199,8.72
"E7_4",-33.48,12.16,10.34,6.26,220.05,8.67
"CE0_5",-130.03,8.54,5.32,6.26,123.5,9.15
"C1_5",-131.23,11.86,5.3,6.26,122.3,8.34
"C2_5",-127.04,11.86,5.31,6.26,126.49,8.34
"C3_5",-126.83,11.86,5.29,6.26,126.7,8.34
"C4_5",-119.8,11.86,5.31,6.26,133.73,8.34
"C5_5",-123.82,11.85,5.32,6.26,129.71,8.33
"C6_5",-108.42,14.74,5.79,6.26,145.1,11.95
"C7_5",-123.04,14.74,5.79,6.26,130.48,11.95
"E1_5",-128.82,11.86,5.29,6.26,124.71,8.34
"E2_5",-134.39,11.86,5.34,6.26,119.13,8.35
"E3_5",-124.64,11.99,5.31,6.26,128.89,8.52
"E4_5",-138.59,11.86,5.33,6.26,114.94,8.33
"E5_5",-132.16,11.86,5.34,6.26,121.36,8.34
"E6_5",-118.74,11.48,5.41,6.26,134.78,7.74
"E7_5",-128.95,11.42,5.39,6.26,124.58,7.64
"C1_6",-97.47,11.96,4,6.26,156.06,8.52
"C2_6",-74.18,11.86,5.08,6.26,179.34,8.35
"C3_6",-71.62,12.03,5.02,6.26,181.9,8.59
"C4_6",-70.86,11.97,4.08,6.26,182.66,8.53
"C5_6",-59.92,11.87,4.99,6.26,193.6,8.36
"C6_6",-54.22,14.76,5.12,6.26,199.31,11.98
"C7_6",-80.42,14.82,5.12,6.26,173.1,12.07
"E1_6",-89.07,11.96,4,6.26,164.46,8.52
"E2_6",-56.63,11.84,6.05,6.26,196.9,8.29
"E3_6",-43.89,11.85,5.89,6.26,209.64,8.3
"E4_6",-68.73,11.87,4.93,6.26,184.8,8.36
"E5_6",-66.26,11.87,5.16,6.26,187.27,8.36
"E6_6",-72.09,11.57,4.36,6.26,181.43,7.9
"E7_6",-36.53,11.42,5,6.26,217,7.66
"CE0_7",-76.95,8.5,5.99,6.26,176.57,9.09
"C1_7",-108.42,11.83,6,6.26,145.11,8.27
"C2_7",-98.17,11.83,5.99,6.26,155.36,8.27
"C3_7",-107.6,11.83,5.97,6.26,145.92,8.28
"C4_7",-114.2,11.83,6.02,6.26,139.33,8.28
"C5_7",-109.67,11.83,6,6.26,143.86,8.27
"C6_7",-123.72,14.74,5.62,6.26,129.81,11.94
"C7_7",-109.57,14.74,5.62,6.26,143.96,11.94
"E1_7",-113.72,11.83,5.97,6.26,139.8,8.28
"E2_7",-96.44,11.84,6,6.26,157.08,8.28
"E3_7",-101.22,11.96,5.86,6.26,152.3,8.46
"E4_7",-107.48,11.83,6.01,6.26,146.04,8.27
"E5_7",-107.08,11.83,5.99,6.26,146.45,8.28
"E6_7",-103.61,11.46,5.9,6.26,149.92,7.68
"E7_7",-112.1,11.39,5.98,6.26,141.43,7.58
"C1_8",-51.23,11.83,5.93,6.26,202.29,8.27
"C2_8",-98.69,11.83,5.93,6.26,154.84,8.27
"C3_8",-95.33,11.83,5.92,6.26,158.2,8.28
"C4_8",-96.12,11.83,5.94,6.26,157.41,8.28
"C5_8",-92.64,11.83,5.94,6.26,160.88,8.27
"C6_8",-107.12,14.73,6.11,6.26,146.41,11.93
"C7_8",-99.66,14.73,6.11,6.26,153.87,11.93
"E1_8",-56.74,11.83,5.92,6.26,196.79,8.28
"E2_8",-95.85,11.84,5.95,6.26,157.68,8.28
"E3_8",-92.11,11.96,5.86,6.26,161.42,8.46
"E4_8",-98.55,11.83,5.95,6.26,154.97,8.27
"E5_8",-94.99,11.83,5.95,6.26,158.54,8.28
"E6_8",-95.31,11.46,5.97,6.26,158.22,7.68
"E7_8",-99.63,11.39,6,6.26,153.9,7.58
